taxon,species_aggregated,genus,family,flowering_start,flowering_end,flowering_times,flowers_m2,nectar_ml,sugar_concentration_mol,sugar_concentration_perc,nectar_sugar_content_mg,pollen_mg,corolla_mm,protein,sugar_perc,time_to_dry_proxy_raw,time_to_dry_days,gmm_confidence,gmm_label
,,,,,,,,2.664650210390136e-05,,,,,4.0,,1.375,,0.07572963688377096,,
Geranium spec,"Geranium columbinum, Geranium dissectum, Geranium molle, Geranium pratense, Geranium pusillum, Geranium robertianum, Geranium rotundifolium, Geranium spp, Geranium sylvaticum",Geranium,Geraniaceae,133.0,266.0,133.0,610.914,0.00046704159763363384,2.33407991695297,50.88888889,0.144651618015,0.0436689988643979,3.388437934451249,25.0179055883978,2.168905472140725,0.0001495512769988,1.5791724552451518,1.0,1.0
,,,,,,,,0.0016446993800931105,,,,,4.0,,1.375,,4.6742527912952045,,
Acer pseudoplatanus,Acer pseudoplatanus,Acer,Sapindaceae,91.0,181.0,90.0,4555.68,0.00010983447060901373,1.90344726847794,41.5,0.427146666666667,,4.026527426862518,30.5,1.9744802972688669,2.793332152045116e-05,0.31192795037367826,1.0,1.0
Glycine max,Glycine max,Glycine,Fabaceae,,,,,5.43731551965201e-05,1.88051416885773,41.0,0.035,,4.0,26.3727967,1.88051416885773,1.3848912486389136e-05,0.1552996451560625,1.0,1.0
Cytisus scoparius,Cytisus scoparius,Cytisus,Fabaceae,121.0,181.0,60.0,3883.28,8.369076205483172e-05,1.375,,0.03396,,3.904819097776787,26.3727967,1.4073912670356024,1.8286431314334906e-05,0.24372551996991054,1.0,1.0
Papaver spec,"Papaver dubium, Papaver rhoeas, Papaver sp",Papaver,Papaveraceae,121.0,212.0,91.0,53.87,7.278649810083138e-06,1.375,,0.002959960625,8.93335009715145,3.453655069647131,23.285,1.173708494176301,1.5938491361071349e-06,0.05,1.0,1.0
Viola spec,"Viola arvensis, Viola reichenbachiana, Viola riviniana, Viola sylvestris, Viola tricolor",Viola,Violaceae,76.0,220.0,144.0,168.925,0.001012121437087111,0.886746518648359,19.3333333333333,0.17562,,15.581014852476065,25.0179055883978,0.9042357071939395,5.5877455802483126e-05,0.7350232408714384,1.0,1.0
Eruca spec,Eruca,Eruca,Brassicaceae,,,,,0.0008307947936859,2.10984516505989,46.0,0.6,,4.0,24.4562121181818,2.10984516505989,0.0002120808188378,2.378242763992417,1.0,1.0
,,,,,,,,0.0035159676281470093,,,,,2.3949401432555466,,1.7600541453300576,,7.0,,
Plantago spec,"Plantago coronopus, Plantago lanceolata, Plantago major, Plantago media",Plantago,Plantaginaceae,114.0,281.0,167.0,269.758590481172,0.0,0.0,,0.0,0.496323030503319,4.402047545321314,23.9,0.0,0.0,0.05,1.0,1.0
Lathyrus spec,"Lathyrus latifolius, Lathyrus pratensis, Lathyrus sp, Lathyrus tuberosus",Lathyrus,Fabaceae,142.0,253.0,111.0,409.835,0.0024863994900804,1.375,67.0,1.170255,0.07,4.0,26.3727967,1.375,0.0006301468691918,7.0,0.9999999999999838,1.0
Rubus sect. Rubus,"Rubus, Rubus caesius, Rubus fruticosus, Rubus fruticosus agg, Rubus sp",Rubus,Rosaceae,121.0,242.0,121.0,39.724326923,0.0067390660988066705,0.500418064,33.075,1.90390184367336,0.564722,0.0,18.42,0.47770260487564803,620988.3192580001,7.0,1.0,1.0
Gladiolus spec,Gladiolus sp,Gladiolus,Iridaceae,152.0,243.0,91.0,42.17,0.006089246998177958,1.375,,3.14248,,4.146251488240988,25.0179055883978,1.671030657308122,0.0016921302908324,7.0,0.9999999999999788,1.0
Limum spec,"Linum grandiflorum, Linum usitatissimum",Linum,Linaceae,152.0,212.0,60.0,,0.0011565219044042969,1.61678352322524,35.25,0.42010686258,1.17473351927534,5.1021481169927885,25.0179055883978,1.3507937954617613,0.0003641219033762,2.57621880892825,1.0,1.0
Cerastium spec,"Cerastium arvense, Cerastium fontanum, Cerastium holosteoides",Cerastium,Caryophyllaceae,81.0,191.0,110.0,660.48,4.09194600377128e-05,1.375,,0.01925925536,0.0408618757434323,4.0,25.0179055883978,1.375,1.0370525627381524e-05,0.1162935321886869,1.0,1.0
Calystegia spec,"Calystegia, Calystegia sepium",Calystegia,Convolvulaceae,182.0,272.0,90.0,16.6683333335,0.00921040314380799,0.664621677,,2.03265750018465,0.91,0.0,26.4566786,0.5834940276982545,1004330.930471429,7.0,1.0,1.0
Onobrychis viciifolia,Onobrychis viciifolia,Onobrychis,Fabaceae,121.0,212.0,91.0,,0.0002368120202515,1.65882753919564,36.1666666666667,0.145,,4.0,27.5,1.65882753919564,6.018508066442666e-05,0.6749065444713095,1.0,1.0
Anemone spec,"Anemone, Anemone apennia, Anemone blanda, Anemone nemorosa, Anemone tomentosum",Anemone,Ranunculaceae,60.0,151.0,91.0,35.02,1.67848511406794e-06,1.375,40.14,0.00079,3.1,10.39,15.03,1.375,1.637694208612781e-07,0.05,1.0,1.0
Stachys spec,"Stachys germanica, Stachys officinalis, Stachys palustris, Stachys recta, Stachys sylvatica",Stachys,Lamiaceae,162.0,273.0,111.0,563.735,0.001464633,1.044243191,54.0,0.31111,0.8,6.75,14.5433167,1.044243191,0.0002192484930641,2.458619996864818,1.0,1.0
Lysimachia spec,"Lysimachia nemorum, Lysimachia vulgaris, Lysimachia vvulgaris",Lysimachia,Primulaceae,142.0,253.0,111.0,61.56,1.99431861173979e-05,1.375,,0.00718,,4.6816292101332575,25.0179055883978,1.743190982927377,3.866212509921233e-06,0.05,1.0,1.0
Galium spec,"Galium album, Galium aparine, Galium mollugo, Galium mollugo agg, Galium saxatile, Galium verum",Galium,Rubiaceae,157.0,263.0,106.0,1272.47712121212,4.102977498860298e-05,1.375,,0.0168605071435,0.0710020424181644,3.7061498902592747,25.0179055883978,1.3003720392263545,9.078872373511948e-06,0.12575984319056366,1.0,1.0
Lobularia maritima,Lobularia maritima,Lobularia,Brassicaceae,152.0,334.0,182.0,,8.95066817305394e-06,1.375,,0.004212743859,0.012493371343539,2.0,24.4562121181818,1.375,4.536869907532366e-06,0.0508757844669361,1.0,1.0
Impatiens glandulifera,Impatiens glandulifera,Impatiens,Balsaminaceae,182.0,212.0,30.0,58.21,0.0101749469214437,2.20157756354075,48.0,7.66784,,6.0,25.0179055883978,2.20157756354075,0.0017331593754394,7.0,0.998871728162834,1.0
,,,,,,,,0.0003330010962211238,,,,,4.0,,1.375,,0.9463925884302528,,
Centaurea spec,"Centaurea, Centaurea jacea, Centaurea montana, Centaurea nigra, Centaurea scabiosa, Centaurea soltitialis",Centaurea,Asteraceae,163.0,296.0,133.0,27.3990146316146,0.022755981939924175,0.6703833545,55.35,8.00119014420227,10.9115454011161,6.665338984078874,22.366147025,0.5200437703176097,0.0059028018554176,7.0,1.0,1.0
Ranunculus spec,"Ranuculus spp, Ranunculus, Ranunculus acris, Ranunculus bulbosos, Ranunculus bulbosus, Ranunculus flammula, Ranunculus lingua, Ranunculus repens",Ranuculus,Ranunculaceae,116.0,273.0,157.0,192.413467742,0.000197167,0.715746421,33.54375,0.0953673717914311,1.71041595806186,2.475,15.03,0.715746421,8.023362219941691e-05,0.8997279078339981,1.0,1.0
Lamium galeobdolon,Lamium galeobdolon,Lamium,Lamiaceae,121.0,212.0,91.0,183.19,0.0151203008939878,1.54569091440257,33.7,4.22008,,4.0,18.7046642833333,1.54569091440257,0.0038385034931878,7.0,0.9999999999332734,1.0
Betonica officinalis,Betonica officinalis,Betonica,Lamiaceae,182.0,243.0,61.0,,0.4234532735364997,,,,,4.0594208926043205,18.7046642833333,0.9914089473999641,0.1267187496832031,7.0,1.0,0.0
Trifolium pratense,Trifolium pratense,Trifolium,Fabaceae,136.0,272.0,136.0,84.819526983971,0.0051930379565146,0.985977213,39.925,2.24904993922074,0.618727615274655,9.25,28.7895958333333,0.985977213,0.0005669448780279,6.357635552056926,1.0,1.0
Succisa pratensis,Succisa pratensis,Succisa,Dipsacoideae,182.0,273.0,91.0,171.347228381375,0.00454868828513,1.375,,2.140897,,4.0,25.0179055883978,1.375,0.0011528081843806,7.0,0.9999999999999823,1.0
,,,,,,,,0.0006566715910759847,,,,,4.0,,1.5069429760883768,,1.86869652047338,,
Vicia faba,Vicia faba,Vicia,Fabaceae,153.0,182.0,29.0,107.5,0.00086,1.68645827247054,41.2,0.37680384,0.65,19.0,21.5,1.68645827247054,4.602650214120956e-05,0.516134350428572,1.0,1.0
Hyacinthoides spec,"Hyacinthoides, Hyacinthoides non-scripta",Hyacinthoides,Asparagaceae,91.0,166.0,75.0,141.21432971,0.0002410219637213,1.375,45.5,0.11344,0.938333825,13.2,36.3,1.375,1.8510304207376124e-05,0.2075717987214891,1.0,1.0
Jacobaea spec,"Senecio erucifolius, Senecio jacobaea, Senecio paludosus",Senecio,Asteraceae,174.0,266.0,92.0,955.336307909119,0.0030228694243947794,1.375,10.9125,1.50438774116666,0.266534648739029,6.216547933023653,16.35,1.1808935677154773,0.0004861618783931,5.517259403154615,1.0,1.0
Sinapis alba,Sinapis alba,Sinapis,Brassicaceae,152.0,212.0,60.0,,0.00034626329771573306,1.99517966695881,43.5,0.255,0.95334311921792,4.601654695182763,24.91,1.897114662666741,9.520744838585984e-05,0.8598231077213504,1.0,1.0
Glebionis segetum,Glebionis segetum,Glebionis,Asteraceae,182.0,304.0,122.0,,0.0019717204590338,1.375,,0.92801488055,1.43285907985965,4.0,18.91633889375,1.375,0.0004997079025871,5.603650108247041,1.0,1.0
,,,,,,,,0.0009452497200996818,,,,,4.0,,1.6565646049802005,,2.6938709472581075,,
Fumaria officinalis,Fumaria officinalis,Fumaria,Papaveraceae,121.0,304.0,183.0,,4.65254334687807e-05,1.375,,0.02189777683,0.0084459641786512,4.0,31.294,1.375,1.1791289515265885e-05,0.1322257671461856,1.0,1.0
Primula vulgaris,Primula vulgaris,Primula,Primulaceae,32.0,151.0,119.0,246.98,0.00037792871842237094,1.28425357873211,28.0,0.17191,,7.442023527318411,25.0179055883978,1.330967684535278,5.463203541997348e-05,0.5770531792581024,1.0,1.0
Sisymbrium officinale,Sisymbrium officinale,Sisymbrium,Brassicaceae,152.0,212.0,60.0,1199.67058823529,1.7122554517465928e-05,1.375,,0.0093073493477,0.0194532597748173,3.5884883942940142,22.0,1.3207411062058771,5.011725693911551e-06,0.05421383887741608,1.0,1.0
Echium vulgare,"Echium, Echium vulgare",Echium,Boraginaceae,141.0,242.0,101.0,16305.25,0.0024292406974365543,0.668138194,39.075,1.10851453619399,0.631346029022025,6.90378892349363,32.19194445,0.7871637787427465,0.0003155137559222,3.9768852454856938,1.0,1.0
,,,,,,,,0.1843474774753172,,,,,4.0,,2.643540240329074,,7.0,,
Salix spec,"Salix, Salix caprea, Salix cinerea, Salix daphnoides, Salix mean",Salix,Salicaceae,60.0,120.0,60.0,1147.20149750416,0.002207438291122518,1.134482423,63.625,2.67153084257763,10.303333,0.0,31.5391666666667,1.1433608799449824,263623.91789411416,7.0,1.0,1.0
Circaea lutetiana,"Circaea lutetiana, Circea lutetiana",Circaea,Onagraceae,152.0,243.0,91.0,804.77,1.38528138528139e-05,1.375,73.0,0.00652,,0.0,24.14305555,1.375,1404.3290043290092,7.0,1.0,1.0
Rhododendron ponticum,Rhododendron ponticum,Rhododendron,Ericaceae,32.0,273.0,241.0,126.47,0.0019170317439193975,1.375,,1.25686,,3.4797968462059443,28.4,1.3094317743453796,0.0006767810383314,6.258641635859269,0.9999999999999838,1.0
Daucus carota,Daucus carota,Daucus,Apiaceae,152.0,243.0,91.0,1646.59211732356,0.001152648372803251,1.375,,0.56503978899825,0.396171490328399,4.497711425214444,25.0179055883978,1.3507569279885732,0.0003042568107003,2.9126415599571587,1.0,1.0
Acer pseudoplatanus,Acer pseudoplatanus,Acer,Sapindaceae,91.0,181.0,90.0,4555.68,0.000109646228225,1.90344726847794,41.5,0.427146666666667,,4.0,30.5,1.90344726847794,2.793332152045116e-05,0.3132401135771303,1.0,1.0
Anthemis spec,"Anthemis, Anthemis arvensis, Anthemis tinctoria",Anthemis,Asteraceae,136.0,288.0,152.0,,0.5,,41.5,,,3.0,18.91633889375,1.375,0.1689583327701388,7.0,1.0,0.0
Jacobaea spec,"Senecio erucifolius, Senecio jacobaea, Senecio paludosus",Senecio,Asteraceae,174.0,266.0,92.0,955.336307909119,0.003599928418986614,1.375,10.9125,1.50438774116666,0.266534648739029,8.992071187070998,16.35,1.4892865283980943,0.0004861618783931,4.556266520792141,1.0,1.0
Calendula officinalis,Calendula officinalis,Calendula,Asteraceae,152.0,304.0,152.0,,0.0010001784105383,1.375,,0.47074647115,2.08376048088796,4.0,18.91633889375,1.375,0.000253482715287,2.8425174739150085,1.0,1.0
Crepis spec,"Crepis biennis, Crepis capillaris",Crepis,Asteraceae,136.0,258.0,122.0,440.342857142857,0.0002504755316937863,1.375,,0.101024,0.627631556871401,3.3815117678373077,18.91633889375,1.3244562406919176,5.43983638721673e-05,0.8416343980938709,1.0,1.0
Melitlotus spec,"Melilotus albus, Melilotus officinalis",Melilotus,Fabaceae,152.0,273.0,121.0,8575.52,7.27934485896269e-05,1.60531697341513,35.0,0.0525425,,4.0,21.13,1.60531697341513,1.8490503497616342e-05,0.2073497565067987,1.0,1.0
Scorzoneroides autumnalis,"Leontodon autumnalis, Scorzoneorides autumnalis, Scorzoneroides autumnalis",Leontodon,Asteraceae,167.0,273.0,106.0,698.281720430107,0.0011110031453536,1.375,33.0,0.5229075179,0.314548855277588,4.0,18.91633889375,1.375,0.0002815698589466,3.1574825260849924,1.0,1.0
Limum spec,"Linum grandiflorum, Linum usitatissimum",Linum,Linaceae,152.0,212.0,60.0,,0.0014333140320401,1.61678352322524,35.25,0.42010686258,1.17473351927534,4.0,25.0179055883978,1.61678352322524,0.0003641219033762,4.083208876036798,1.0,1.0
Achillea spec,"Achillea millefolium, Achillea millefolium agg, Achillea spp",Achillea,Asteraceae,152.0,243.0,91.0,25041.3410714286,5.414973160724244e-05,1.375,40.25,0.0326004221225,0.17449896045336,4.066134304824283,18.91633889375,1.65058838312751,2.0501418748075077e-05,0.15180262352644228,1.0,1.0
Sisymbrium irio,Sisymbrium irio,Sisymbrium,Brassicaceae,121.0,243.0,122.0,,0.5,,,,,4.0,24.4562121181818,1.375,0.1267187496832031,7.0,1.0,0.0
Ajuga spec,"Ajuga, Ajuga reptans, Ajuga spp",Ajuga,Lamiaceae,121.0,232.0,111.0,4779.2543229165,0.0006838867999366176,0.824737635,53.0,0.191817611215708,0.65,9.270538136390003,7.2103857,0.6175615273214539,8.163446276508307e-05,0.8323535889432805,1.0,1.0
,,,,,,,,0.004155054148684233,,,,,4.64217125282371,,2.205585296733105,,7.0,,
Solanum nigrum,Solanum nigrum,Solanum,Solanaceae,182.0,273.0,91.0,186.95,0.0,0.0,,0.0,,4.0,44.61,0.0,0.0,0.05,1.0,1.0
Galium spec,"Galium album, Galium aparine, Galium mollugo, Galium mollugo agg, Galium saxatile, Galium verum",Galium,Rubiaceae,157.0,263.0,106.0,1272.47712121212,3.88242529438305e-05,1.375,,0.0168605071435,0.0710020424181644,4.388490814425684,25.0179055883978,1.3293081761305223,9.078872373511948e-06,0.1005258567556526,1.0,1.0
Betonica officinalis,Betonica officinalis,Betonica,Lamiaceae,182.0,243.0,61.0,,0.5,,,,,4.0,18.7046642833333,1.375,0.1267187496832031,7.0,1.0,0.0
Lamium album,Lamium album,Lamium,Lamiaceae,106.0,334.0,228.0,299.7904761905,0.0014843191631472342,0.756159314,33.5,0.851684824946353,0.725,10.99378878276322,22.8,0.6624451480261472,0.0001888665814929,1.524060379814273,1.0,1.0
Stellaria media,Stellaria media,Stellaria,Caryophyllaceae,1.0,365.0,364.0,220.22,2.2194675151489835e-05,1.375,,0.00951395949,0.0017829058304383,3.6423466602063,25.0179055883978,1.3179306064198215,5.122978997092151e-06,0.06923227735712116,1.0,1.0
Tripleurospermum inodorum,Tripleurospermum inodorum,Tripleurospermum,Asteraceae,152.0,334.0,182.0,,0.0029890042525164,1.375,,1.406812214,,4.0,18.91633889375,1.375,0.0007575257633533,7.0,0.9999999999999838,1.0
Berberis spec,"Berberis darwinii, Berberis spp",Berberis,Berberidaceae,,,,,0.5,,35.85,,,5.5,25.0179055883978,1.375,0.0921590907415289,7.0,1.0,0.0
Vicia spec perennes,"Vicia cassubica, Vicia cracca, Vicia grandiflora, Vicia nigricans, Vicia sepium, Vicia sp, Vicia tenuifolia",Vicia,Fabaceae,140.0,206.0,66.0,221.10416666675,0.0016735930668749879,1.375,29.5,0.157638159683334,0.308991306727076,5.62052538652936,23.774583325,0.8779535945537758,0.000236601646527,3.368402721901977,1.0,1.0
